Model,URL,Year Manufacture,Mileage,Price
,https://auto.bazos.cz/inzerat/200968579/toyota-yaris-rv-2020-15-vvt-ie.php,2026,,310000
,https://auto.bazos.cz/inzerat/202920533/toyota-prius-18hse-hybrid-vyhrev-sedad.php,2009,148900,269900
,https://auto.bazos.cz/inzerat/202920521/toyota-land-cruiser-150-prado-116tkm.php,2012,116500,549900
,https://auto.bazos.cz/inzerat/202920499/ram-toyota-hilux-doublecab-2012.php,2012,,77900
,https://auto.bazos.cz/inzerat/202920493/toyota-hilux-24d-4d110kw-aut-cz-dph.php,2025,163999,679900
,https://auto.bazos.cz/inzerat/202920483/toyota-aygo-10i-53kw-22tkm-style.php,2025,22500,309900
,https://auto.bazos.cz/inzerat/202920137/prodam.php,2015,110000,185000
,https://auto.bazos.cz/inzerat/202919958/rav4.php,2006,,65000
,https://auto.bazos.cz/inzerat/202919390/toyota-proace-20d-4dl2-150k9mistcr1maj.php,2025,179000,650000
,https://auto.bazos.cz/inzerat/202581914/toyota-auris-12-edition-s.php,2017,136000,269000
,https://auto.bazos.cz/inzerat/202917618/prodam-toyota-avensis-verso-20-d-116k-7-mist.php,,254000,59900
,https://auto.bazos.cz/inzerat/202917589/2023-toyota-rav4-xle-premium.php,2023,30192,310000
,https://auto.bazos.cz/inzerat/202916295/fj-cruiser.php,,,15000
,https://auto.bazos.cz/inzerat/202915821/toyota-avensis-22-d-automaticka-prev-top-stav.php,2014,212700,188000
,https://auto.bazos.cz/inzerat/202914624/toyota-gr86-24-6mt-top.php,2023,1900,818000
,https://auto.bazos.cz/inzerat/202913788/toyota-avensis-20.php,,,105000
,https://auto.bazos.cz/inzerat/202482780/toyota-aygo-10i-50-kw-klimatizace-stk-do-102026.php,2007,139237,64900
,https://auto.bazos.cz/inzerat/202913448/toyota-auris-20-l-d-4d-dpf-active.php,2015,239291,193272
,https://auto.bazos.cz/inzerat/202030661/toyota-corolla-16-benzin-97kw.php,2013,139290,165000
,https://auto.bazos.cz/inzerat/202911813/toyota-verso-20-93kw-2010-265840km-d4-d-cz-bez-dpf.php,2010,265840,119900
,https://auto.bazos.cz/inzerat/202911624/toyota-yaris-moc-krasna-bez-investic.php,2006,188888,55000
,https://auto.bazos.cz/inzerat/202911550/toyota-rav4-20-112kw-2007-193998km-1majitel-bez-koroze.php,2007,193998,199900
,https://auto.bazos.cz/inzerat/202911133/toyota-verso-13.php,2012,122500,165000
,https://auto.bazos.cz/inzerat/202910503/toyota-yaris-10-vvti-base-51-kw-klima.php,2007,188877,59999
,https://auto.bazos.cz/inzerat/202907622/toyota-camry-25-hybrid.php,2021,32000,660000
,https://auto.bazos.cz/inzerat/202907014/toyota-c-hr-20-hybrid-vybava-style.php,2020,,510000
,https://auto.bazos.cz/inzerat/202906513/toyota-yaris-13-vvt-i-terra-cool-aj-na-splatky-1majitel.php,2008,101150,82233
,https://auto.bazos.cz/inzerat/202905018/toyota-hiluxprodam-specialni-zahradkurampu.php,2005,,6000
,https://auto.bazos.cz/inzerat/202904786/toyota-yaris-15-hybrid-55kw-automat-rok-2014.php,2014,83111,99000
